,,sWordTotal.v,atr-l,atr-l,atr-l,auxp-r,auxp-r,auxp-r,auxy-d,auxy-d,auxy-d,coord-c,coord-c,coord-c,obj-n,obj-n,obj-n,atr-a,atr-a,atr-a,adv-v,adv-v,adv-v,adv-n,adv-n,adv-n,auxk-u,auxk-u,auxk-u,atr-n,atr-n,atr-n,adv-d,adv-d,adv-d,pred-v,pred-v,pred-v,auxz-d,auxz-d,auxz-d,sbj-n,sbj-n,sbj-n,obj-v,obj-v,obj-v,pred_co-v,pred_co-v,pred_co-v,adv_co-v,adv_co-v,adv_co-v,atr-v,atr-v,atr-v,obj-p,obj-p,obj-p,auxc-c,auxc-c,auxc-c,obj_co-n,obj_co-n,obj_co-n,sbj-p,sbj-p,sbj-p,adv-p,adv-p,adv-p,adv-a,adv-a,adv-a,pnom-a,pnom-a,pnom-a,obj_co-v,obj_co-v,obj_co-v,adv_co-n,adv_co-n,adv_co-n,sbj-v,sbj-v,sbj-v,obj-a,obj-a,obj-a,atr-p,atr-p,atr-p,atr_co-n,atr_co-n,atr_co-n,sbj-a,sbj-a,sbj-a,atr_co-a,atr_co-a,atr_co-a,sbj_co-v,sbj_co-v,sbj_co-v,sbj_co-n,sbj_co-n,sbj_co-n,pnom-n,pnom-n,pnom-n,sbj-l,sbj-l,sbj-l,atr_co-v,atr_co-v,atr_co-v,pnom_co-a,pnom_co-a,pnom_co-a,obj-l,obj-l,obj-l,atr-d,atr-d,atr-d,pred-,pred-,pred-,adv_co-d,adv_co-d,adv_co-d,auxz-a,auxz-a,auxz-a,pnom-v,pnom-v,pnom-v,atv-a,atv-a,atv-a,obj_co-a,obj_co-a,obj_co-a,pnom_co-n,pnom_co-n,pnom_co-n,apos-u,apos-u,apos-u,adv-l,adv-l,adv-l,ocomp-a,ocomp-a,ocomp-a,auxg-u,auxg-u,auxg-u,adv-,adv-,adv-,pnom_co-v,pnom_co-v,pnom_co-v,pnom-p,pnom-p,pnom-p,adv_co-a,adv_co-a,adv_co-a,coord-u,coord-u,coord-u,ocomp-n,ocomp-n,ocomp-n,atvv-a,atvv-a,atvv-a,adv_co-p,adv_co-p,adv_co-p,sbj_co-a,sbj_co-a,sbj_co-a,obj_co-l,obj_co-l,obj_co-l,ocomp_co-a,ocomp_co-a,ocomp_co-a,atvv-p,atvv-p,atvv-p,obj_co-p,obj_co-p,obj_co-p,exd-n,exd-n,exd-n,obj_ap_co-n,obj_ap_co-n,obj_ap_co-n,pred-a,pred-a,pred-a,obj_ap_co-v,obj_ap_co-v,obj_ap_co-v,pred_co-,pred_co-,pred_co-,auxz-l,auxz-l,auxz-l,sbj_ap-v,sbj_ap-v,sbj_ap-v,ocomp_co-n,ocomp_co-n,ocomp_co-n,obj_ap-n,obj_ap-n,obj_ap-n,auxz-p,auxz-p,auxz-p,pred_ap_co-v,pred_ap_co-v,pred_ap_co-v,pred-e,pred-e,pred-e,sbj_co-l,sbj_co-l,sbj_co-l,sbj_ap_co-n,sbj_ap_co-n,sbj_ap_co-n,obj_ap-v,obj_ap-v,obj_ap-v,obj_ap-p,obj_ap-p,obj_ap-p,adv-e,adv-e,adv-e,pnom-d,pnom-d,pnom-d,pred_co-a,pred_co-a,pred_co-a,apos-,apos-,apos-,atv_co-a,atv_co-a,atv_co-a,atr_co-l,atr_co-l,atr_co-l,sbj_ap-p,sbj_ap-p,sbj_ap-p,obj-,obj-,obj-,auxz-i,auxz-i,auxz-i,auxy-v,auxy-v,auxy-v,atv-v,atv-v,atv-v,atr_co-p,atr_co-p,atr_co-p,adv_co-l,adv_co-l,adv_co-l,adv_co-,adv_co-,adv_co-,sbj_ap_co-v,sbj_ap_co-v,sbj_ap_co-v,sbj_co-p,sbj_co-p,sbj_co-p,adv_ap_co-v,adv_ap_co-v,adv_ap_co-v,obj_co-,obj_co-,obj_co-,sbj-,sbj-,sbj-,ocomp-p,ocomp-p,ocomp-p,obj-d,obj-d,obj-d,sbj_ap-n,sbj_ap-n,sbj_ap-n,ocomp_co-v,ocomp_co-v,ocomp_co-v,coord-r,coord-r,coord-r,pred_ap_co-,pred_ap_co-,pred_ap_co-,atr-,atr-,atr-,auxy-c,auxy-c,auxy-c,atv-n,atv-n,atv-n,sbj_ap_co-l,sbj_ap_co-l,sbj_ap_co-l,exd-v,exd-v,exd-v,adv_ap-p,adv_ap-p,adv_ap-p,adv_ap-v,adv_ap-v,adv_ap-v,sbj_ap-a,sbj_ap-a,sbj_ap-a,auxc-r,auxc-r,auxc-r,auxz-n,auxz-n,auxz-n,pred_ap-v,pred_ap-v,pred_ap-v,atr_co-,atr_co-,atr_co-,exd-x,exd-x,exd-x,pnom_co-p,pnom_co-p,pnom_co-p,atvv_co-v,atvv_co-v,atvv_co-v,auxv-v,auxv-v,auxv-v,pnom-,pnom-,pnom-,obj_ap_co-a,obj_ap_co-a,obj_ap_co-a,atvv-v,atvv-v,atvv-v,obj_ap-a,obj_ap-a,obj_ap-a,auxy-a,auxy-a,auxy-a,adv_ap-n,adv_ap-n,adv_ap-n,coord-d,coord-d,coord-d,atr_co-d,atr_co-d,atr_co-d,apos-e,apos-e,apos-e,coord-,coord-,coord-,adv-r,adv-r,adv-r,pnom-l,pnom-l,pnom-l,atv_co-v,atv_co-v,atv_co-v,auxp-d,auxp-d,auxp-d,atr_ap_co-v,atr_ap_co-v,atr_ap_co-v,sbj-x,sbj-x,sbj-x,atr_ap-n,atr_ap-n,atr_ap-n,obj_ap_co-l,obj_ap_co-l,obj_ap_co-l,auxp-c,auxp-c,auxp-c,exd-l,exd-l,exd-l,exd_co-n,exd_co-n,exd_co-n,obj_ap-l,obj_ap-l,obj_ap-l,pred-c,pred-c,pred-c,auxp_co-r,auxp_co-r,auxp_co-r,auxy_co-d,auxy_co-d,auxy_co-d,adv_co-e,adv_co-e,adv_co-e,atr_ap_co-a,atr_ap_co-a,atr_ap_co-a,atv-p,atv-p,atv-p,pnom_ap-p,pnom_ap-p,pnom_ap-p,sbj_ap_co-p,sbj_ap_co-p,sbj_ap_co-p,atvv-n,atvv-n,atvv-n,auxy-p,auxy-p,auxy-p,missing-d,missing-d,missing-d,sbj_ap_co-a,sbj_ap_co-a,sbj_ap_co-a,missing-n,missing-n,missing-n,sbj_ap-l,sbj_ap-l,sbj_ap-l,auxr-d,auxr-d,auxr-d,pnom_co-d,pnom_co-d,pnom_co-d,adv_ap_co-,adv_ap_co-,adv_ap_co-,atr_ap-p,atr_ap-p,atr_ap-p,atr_ap_co-n,atr_ap_co-n,atr_ap_co-n,auxy-u,auxy-u,auxy-u,pnom_ap_co-n,pnom_ap_co-n,pnom_ap_co-n,pnom_ap_co-v,pnom_ap_co-v,pnom_ap_co-v,pnom_co-,pnom_co-,pnom_co-,atvv_co-a,atvv_co-a,atvv_co-a,adv-c,adv-c,adv-c,pnom_ap-v,pnom_ap-v,pnom_ap-v,pred-n,pred-n,pred-n,obj-c,obj-c,obj-c,atr-e,atr-e,atr-e,auxc-d,auxc-d,auxc-d,obj_co-e,obj_co-e,obj_co-e,pred_co-e,pred_co-e,pred_co-e,atr_ap-a,atr_ap-a,atr_ap-a,pnom_ap-a,pnom_ap-a,pnom_ap-a,auxy-l,auxy-l,auxy-l,exd-c,exd-c,exd-c,adv-x,adv-x,adv-x,exd-d,exd-d,exd-d,obj_ap_co-x,obj_ap_co-x,obj_ap_co-x,missing-v,missing-v,missing-v,sbj-e,sbj-e,sbj-e,adv_ap-a,adv_ap-a,adv_ap-a,ocomp-v,ocomp-v,ocomp-v,adv_co-x,adv_co-x,adv_co-x,auxg-c,auxg-c,auxg-c,obj_co-d,obj_co-d,obj_co-d,sbj_ap_co-,sbj_ap_co-,sbj_ap_co-,atr_co-e,atr_co-e,atr_co-e,obj-e,obj-e,obj-e,adv_ap-l,adv_ap-l,adv_ap-l,atr-r,atr-r,atr-r,auxc-n,auxc-n,auxc-n,auxy-,auxy-,auxy-,adv_ap_co-n,adv_ap_co-n,adv_ap_co-n,atr--,atr--,atr--,auxv-d,auxv-d,auxv-d,coord_co-c,coord_co-c,coord_co-c,missing-p,missing-p,missing-p,obj--,obj--,obj--,adv-m,adv-m,adv-m,adv-t,adv-t,adv-t,adv_co-t,adv_co-t,adv_co-t,apos-c,apos-c,apos-c,atr-m,atr-m,atr-m,atr-t,atr-t,atr-t,auxc-l,auxc-l,auxc-l,auxk--,auxk--,auxk--,auxp-n,auxp-n,auxp-n,auxy-n,auxy-n,auxy-n,auxy-r,auxy-r,auxy-r,coord-a,coord-a,coord-a,coord-e,coord-e,coord-e,coord-v,coord-v,coord-v,coord_exd0_pred-c,coord_exd0_pred-c,coord_exd0_pred-c,exd--,exd--,exd--,exd-p,exd-p,exd-p,missing-l,missing-l,missing-l,missing-r,missing-r,missing-r,obj-r,obj-r,obj-r,obj-t,obj-t,obj-t,obj_co--,obj_co--,obj_co--,pnom_ap-n,pnom_ap-n,pnom_ap-n,pred_ap_co-e,pred_ap_co-e,pred_ap_co-e,sbj-r,sbj-r,sbj-r,sbj-t,sbj-t,sbj-t,sbj_co--,sbj_co--,sbj_co--,sbj_co-e,sbj_co-e,sbj_co-e
,,,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40,41,41,41,42,42,42,43,43,43,44,44,44,45,45,45,46,46,46,47,47,47,48,48,48,49,49,49,50,50,50,51,51,51,52,52,52,53,53,53,54,54,54,55,55,55,56,56,56,57,57,57,58,58,58,59,59,59,60,60,60,61,61,61,62,62,62,63,63,63,64,64,64,65,65,65,66,66,66,67,67,67,68,68,68,69,69,69,70,70,70,71,71,71,72,72,72,73,73,73,74,74,74,75,75,75,76,76,76,77,77,77,78,78,78,79,79,79,80,80,80,81,81,81,82,82,82,83,83,83,84,84,84,85,85,85,86,86,86,87,87,87,88,88,88,89,89,89,90,90,90,91,91,91,92,92,92,93,93,93,94,94,94,95,95,95,96,96,96,97,97,97,98,98,98,99,99,99,100,100,100,101,101,101,102,102,102,103,103,103,104,104,104,105,105,105,106,106,106,107,107,107,108,108,108,109,109,109,110,110,110,111,111,111,112,112,112,113,113,113,114,114,114,115,115,115,116,116,116,117,117,117,118,118,118,119,119,119,120,120,120,121,121,121,122,122,122,123,123,123,124,124,124,125,125,125,126,126,126,127,127,127,128,128,128,129,129,129,130,130,130,131,131,131,132,132,132,133,133,133,134,134,134,135,135,135,136,136,136,137,137,137,138,138,138,139,139,139,140,140,140,141,141,141,142,142,142,143,143,143,144,144,144,145,145,145,146,146,146,147,147,147,148,148,148,149,149,149,150,150,150,151,151,151,152,152,152,153,153,153,154,154,154,155,155,155,156,156,156,157,157,157,158,158,158,159,159,159,160,160,160,161,161,161,162,162,162,163,163,163,164,164,164,165,165,165,166,166,166,167,167,167,168,168,168,169,169,169,170,170,170,171,171,171,172,172,172,173,173,173,174,174,174,175,175,175,176,176,176,177,177,177,178,178,178,179,179,179,180,180,180,181,181,181,182,182,182,183,183,183,184,184,184,185,185,185,186,186,186,187,187,187,188,188,188,189,189,189,190,190,190,191,191,191,192,192,192,193,193,193,194,194,194,195,195,195,196,196,196,197,197,197,198,198,198,199,199,199,200,200,200,201,201,201,202,202,202,203,203,203,204,204,204,205,205,205,206,206,206,207,207,207,208,208,208,209,209,209,210,210,210,211,211,211,212,212,212,213,213,213,214,214,214,215,215,215,216,216,216,217,217,217,218,218,218,219,219,219,220,220,220,221,221,221,222,222,222,223,223,223,224,224,224,225,225,225,226,226,226,227,227,227,228,228,228,229,229,229,230,230,230,231,231,231
labels.abc,Token Total,sWord Total,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score,Raw Count,Rel. Freq. per 100 tokens,Z-Score
